episode,stage,daily_cost_usd,min_voltage_pu,violation_rate_pct,service_quality,q_activation_freq,curtailed_kwh,peak_mw,wall_s
0,0,35.340826780642615,0.9561626612185259,0.0,0.9311710559396097,0.0,0.0,3.291889818899952,15.4
1,0,25.939595513112522,0.9545870094303963,0.0,0.8191118154046904,0.0,0.0,3.3485360970936697,13.7
2,0,22.43199606400321,0.9551289159868048,0.0,0.6202524867127759,0.0,0.0,3.3423687331445535,13.7
3,0,32.93498901376944,0.9553998719757251,0.0,0.8256657217380253,0.0,0.0,3.3321839829799176,13.8
4,0,25.371531590897916,0.954749691491495,0.0,0.5653807589559171,0.0,0.0,3.3447160836883234,13.8
5,0,37.68334885125912,0.9532924168375452,0.0,0.6960543288202393,0.0,0.0,3.4006442882546373,14.1
6,0,26.160870588485057,0.954864748446438,0.0,0.5989324993508096,0.0,0.0,3.3294580355183285,13.8
7,0,37.98462916453008,0.9544985154578814,0.0,0.7407223148138069,0.0,0.0,3.315494588050453,13.9
8,0,37.026247372715126,0.9550390041246534,0.0,0.7137328873476446,0.0,0.0,3.3413264820231934,14.2
9,0,48.694787832503415,0.9538311998054673,0.0,0.7894748449714404,0.0,0.0,3.3665776247106614,14.3
10,0,44.11429911069628,0.9556245336840427,0.0,0.7847617603436412,0.0,0.0,3.31904339002467,14.1
11,0,46.73379629499727,0.9549811683244481,0.0,0.8250019614815348,0.0,0.0,3.3242235481054276,14.0
12,0,39.60839065112239,0.9555875885579549,0.0,0.7916706849387516,0.0,0.0,3.3398316854541004,14.0
13,0,32.879595232208416,0.9525959564228985,0.0,0.6832780943214595,0.0,0.0,3.431485467435584,14.3
14,0,41.946519038682474,0.955865909683492,0.0,0.8506184374374315,0.0,0.0,3.3187420890968795,14.0
15,0,33.49954348635789,0.954753124633601,0.0,0.8084610982974697,0.0,0.0,3.3190977367214654,14.0
16,0,53.99208591026132,0.9540576699148897,0.0,0.936145457605987,0.0,0.0,3.3558839220842205,14.1
17,0,41.27123156097456,0.9539086573151228,0.0,0.7791985114681957,0.0,0.0,3.356874119436998,14.1
18,0,32.97147999484978,0.9540026964068533,0.0,0.7699352795470934,0.0,0.0,3.340212969845038,14.3
19,0,38.78017498211061,0.9539605505668647,0.0,0.8847878914476062,0.0,0.0,3.3952028160487653,14.1
20,0,47.92456000584435,0.9540040728570486,0.0,0.9109001689889741,0.0,0.0,3.377604897302765,14.1
21,0,42.372812664525405,0.9553014113194153,0.0,0.8881815518490805,0.0,0.0,3.333766693563253,14.1
22,0,30.228987607307612,0.9559472339184586,0.0,0.7892107043335631,0.0,0.0,3.308217839657058,14.1
23,0,25.153236124810473,0.9557490532594245,0.0,0.643450762263561,0.0,0.0,3.2969314140281605,14.3
24,0,46.15471497442637,0.9533630220280087,0.0,0.8976134745082297,0.0,0.0,3.3906064767733173,14.1
25,0,45.92327402796584,0.9543725294595446,0.0,0.8225190959657488,0.0,0.0,3.3599318633089825,14.1
26,0,55.82290709389083,0.9529767265499813,0.0,0.9174378426748802,0.0,0.0,3.3738337601950685,14.1
27,0,62.43283990593557,0.9539827855114318,0.0,0.9894086260850289,0.0,0.0,3.389933720805971,14.3
28,0,65.85231102035162,0.9535510077267337,0.0,0.9898265910813838,0.0,0.0,3.387919537335347,14.1
29,0,48.95400069460889,0.9534635763581758,0.0,0.8686796890275716,0.0,0.0,3.3732079805725124,14.1
30,0,52.13002126398138,0.9544715050050778,0.0,0.892175939252754,0.0,0.0,3.353078823910655,14.1
31,0,55.599472098959566,0.9533826019024493,0.0,0.8859615291613154,0.0,0.0,3.4140402165892327,14.1
32,1,51.27709273912756,0.9529963797475922,0.0,0.8401760472791503,0.0,0.0,3.441953356636694,14.3
33,1,113.87941365522998,0.9533969135355499,0.0,0.91085853670824,0.0,0.0,3.421996509539548,14.1
34,1,106.29291855519644,0.9539858603917396,0.0,0.838412305625163,0.0,0.0,3.38991256480277,14.2
35,1,119.33978164874658,0.9536951240958803,0.0,0.901104881833274,0.0,0.0,3.41477404501752,14.1
36,1,119.0957894717269,0.9528736007071603,0.0,0.9059060064625502,0.0,0.0,3.370188872259587,14.3
37,1,119.11542089866556,0.951996815265054,0.0,0.8755288877917982,0.0,0.0,3.4125837214819708,14.2
38,1,97.46289963562961,0.9536916695814421,0.0,0.8622676845721162,0.0,0.0,3.3906843220818503,14.2
39,1,111.65023468080724,0.9525271951500022,0.0,0.8319326576372198,0.0,0.0,3.4365317625346745,14.2
40,1,123.80855396128504,0.9511134911407648,0.0,0.9071438883015471,0.0,0.0,3.460306662911444,14.2
41,1,107.21119217541666,0.9510100454144295,0.0,0.9152396858984421,0.0,0.0,3.464164851211123,14.3
42,1,112.56936370935207,0.9516339845037305,0.0,0.9288419492788982,0.0,0.0,3.5086205749451223,14.1
43,1,106.00239182738581,0.9513138197209025,0.0,0.9001822095929775,0.0,0.0,3.440871171428776,14.2
44,1,102.46173952060738,0.9501500382109805,0.0,0.9233170679713985,0.0,0.0,3.4583567076148456,14.2
45,1,114.13183277235845,0.9513736640180236,0.0,0.9207918913198629,0.0,0.0,3.4851417788326566,14.3
46,1,105.52415040925317,0.950749012849081,0.0,0.9545278383641194,0.0,0.0,3.4339515615662464,14.1
47,1,111.8772940165812,0.9515013375546846,0.0,0.9329061795911571,0.0,0.0,3.4533543127495654,14.2
48,1,120.16195374016152,0.9510108494183145,0.0,0.9362116476615727,0.0,0.0,3.467022261376616,14.2
49,1,136.03907285752297,0.9534372103699308,0.0,0.9703676766317955,0.0,0.0,3.417352165204945,14.2
50,1,105.02624363718056,0.9510052705436277,0.0,0.9289145014718141,0.0,0.0,3.457379363271153,14.3
51,1,123.04579579075002,0.9502745524621811,0.0,0.9276780913797307,0.0006944444444444445,0.0,3.4869128908007223,14.2
52,2,106.4588736443474,0.9528381264344188,0.0,0.8765710042863474,0.0,0.0,3.3864177523856265,14.2
53,2,134.86768758248982,0.9513359168160987,0.0,0.9349814190883147,0.0006944444444444445,0.0,3.534809914302238,14.3
54,2,172.74396383425366,0.9503062536110759,0.0,0.9253539837291169,0.001388888888888889,0.0,3.5336017159860273,14.4
55,2,186.5761550385729,0.9520901022206839,0.0,0.8877078035629778,0.0,0.0,3.4728400162463418,14.2
56,2,167.79998412043594,0.951343602957427,0.0,0.9397823512831343,0.0,0.0,3.491206072217654,14.2
57,2,164.13496170241396,0.9508813319859162,0.0,0.9097152373106724,0.0,0.0,3.4944210469306527,14.2
58,2,142.4723789787513,0.9507723679246457,0.0,0.8915332988153224,0.0,0.0,3.466070750989661,14.4
59,2,171.84822775596248,0.9513649077346307,0.0,0.9651867955715996,0.0,0.0,3.4192377882219063,14.2
60,2,164.45634469001652,0.9503017549975579,0.0,0.8823528246075846,0.0006944444444444445,0.0,3.5331944292305595,14.2
61,2,146.91853158013583,0.9526349766461948,0.0,0.8777114664202383,0.0,0.0,3.4209265589980493,14.2
62,2,143.14518120049826,0.9512321241878046,0.0,0.8404479411326692,0.0,0.0,3.454642314763941,14.2
63,2,131.12461713442653,0.9516323362681998,0.0,0.8577326291768036,0.0,0.0,3.4137939130948816,14.4
64,2,185.71240084001812,0.9507954387078573,0.0,0.9176473084329995,0.0,0.0,3.463740921319,14.2
65,2,173.92182980885676,0.9500373136788837,0.0,0.9556710370247639,0.002777777777777778,0.0,3.537422283140274,14.3
66,2,189.96612856159084,0.9505312578982018,0.0,0.9188173630053698,0.001388888888888889,0.0,3.5722090738552934,14.2
67,2,177.39395468337426,0.9503290124964217,0.0,0.8781861349102971,0.004166666666666667,0.0,3.5278528012094523,14.5
68,2,197.9915869840326,0.9509353317827008,0.0,0.9345635371480797,0.0,0.0,3.4846546919420756,14.2
69,2,157.78464253669662,0.9501294978310307,0.0,0.8402638339487329,0.0006944444444444445,0.0,3.5037982074859166,14.3
70,2,172.66940399195295,0.9501844925817395,0.0,0.8834173032602941,0.002777777777777778,0.0,3.4685986949753227,14.3
71,2,170.70476483827494,0.9501950221645539,0.0,0.8916421340644812,0.0020833333333333333,0.0,3.469690676516637,14.3
72,3,155.91949514974593,0.9502551672044007,0.0,0.877349215436763,0.0006944444444444445,0.0,3.531251356236359,14.4
73,3,173.26531277537464,0.9500647174989529,0.0,0.8978664271548993,0.001388888888888889,0.0,3.506479564037855,14.3
74,3,237.2909351419692,0.9500180865503819,0.0,0.9496219444596864,0.022916666666666665,0.0,3.575874204493775,14.9
75,3,166.5066544643409,0.9511214178990913,0.0,0.8309317671495439,0.0,0.0,3.4814626208955257,14.2
76,3,206.7372204892033,0.9501489541596508,0.0,0.9160526741731131,0.004861111111111111,0.0,3.561638434675604,14.6
77,3,229.46042436440322,0.9500462176454937,0.0,0.96941198219947,0.009722222222222222,0.0,3.530694508070984,14.5
78,3,199.89575390689737,0.950188595265738,0.0,0.8772135677593281,0.001388888888888889,0.0,3.551654863327099,14.3
79,3,164.43493100672293,0.9500231728405634,0.0,0.8452221379677196,0.006944444444444444,0.0,3.585819145392097,14.4
80,3,134.07438466025096,0.9500462112121504,0.0,0.8042574271669153,0.0006944444444444445,0.0,3.4327683041188264,14.3
81,3,153.93973119363562,0.9503169701985772,0.0,0.8780125009905971,0.0,0.0,3.518190786007571,14.4
82,3,181.93826629074385,0.9503610847789903,0.0,0.8277423657505166,0.0020833333333333333,0.0,3.545170146076823,14.3
83,3,147.33865999179605,0.9530198201376842,0.0,0.847596083318568,0.0,0.0,3.443508600476414,14.2
84,3,165.42535607342106,0.9528622438578005,0.0,0.8998302270919682,0.0,0.0,3.4015134457229204,14.3
85,3,169.58470005264564,0.9500210525628551,0.0,0.9022470864348912,0.005555555555555556,0.0,3.5260635764034123,14.6
86,3,201.84681077510407,0.9501768329063425,0.0,0.899166131095161,0.0006944444444444445,0.0,3.5820608272177177,14.3
87,3,187.9425861456914,0.9524665444773952,0.0,0.9205521366338792,0.0,0.0,3.4410065793730578,14.2
88,3,176.1318045180929,0.9516119916237307,0.0,0.9033813466429116,0.0,0.0,3.4941398327512663,14.3
89,3,207.25130498799223,0.9515197605553748,0.0,0.9068188364394022,0.0,0.0,3.5056254607037816,14.5
90,3,278.61758631625366,0.9500480214780321,0.0,0.9656782012151591,0.01597222222222222,0.0,3.614052282176307,14.7
91,3,241.0609439195475,0.9500137354151357,0.0,0.9279025013214209,0.008333333333333333,0.0,3.6199188332289745,14.4
92,4,217.22666622707123,0.9507508990750291,0.0,0.9202585119812423,0.001388888888888889,0.0,3.6499074821827646,14.3
93,4,239.8750621743886,0.9502388428733097,0.0,0.9305846457721051,0.0,0.0,3.5565324776896436,27.5
94,4,240.9139247268429,0.95041546454949,0.0,0.939619882005023,0.0,0.0,3.533345768785637,27.7
95,4,254.31316583275498,0.9513206212953622,0.0,0.9912654289302227,0.0006944444444444445,0.0,3.575687340700463,27.4
96,4,252.02489813993256,0.9501855770858175,0.0,0.914391523763476,0.0006944444444444445,0.0,3.532000842750389,27.4
97,4,206.03764318482783,0.9500924436960919,0.0,0.9474723201694272,0.0,0.0,3.4897166468892427,27.6
98,4,215.76653229119646,0.9506947633859637,0.0,0.9435983838171051,0.0,0.0,3.4355746135599605,27.4
99,4,198.00750659843914,0.9514956327292475,0.0,0.8535855365993514,0.0,0.0,3.4813654439379143,27.4
100,4,212.77207166496302,0.9507033753188749,0.0,0.9473065669933332,0.0,0.0,3.475769005419415,27.6
101,4,234.83283888774554,0.9500604213123368,0.0,0.9139993995997855,0.001736111111111111,0.0,3.5794242700119776,27.7
102,4,199.28781194242467,0.9502420549560576,0.0,0.8797600791376728,0.0,0.0,3.4761337481174217,27.4
103,4,211.02986074352518,0.9504387039860556,0.0,0.927599036550998,0.00034722222222222224,0.0,3.5541545197196602,27.4
104,4,214.14448035579488,0.9503035027282549,0.0,0.9277924772586283,0.0006944444444444445,0.0,3.5409223245294106,27.6
105,4,198.20313899358183,0.9500229612119595,0.0,0.9544300517408039,0.005555555555555556,0.0,3.5019845915246766,27.8
106,4,209.51206538020654,0.9503362447427245,0.0,0.933754752902955,0.0006944444444444445,0.0,3.5940210349488937,27.5
107,4,239.07245735503662,0.9502975845090057,0.0,0.9165095107049487,0.004861111111111111,0.0,3.5557449128419982,27.8
108,4,232.973322729342,0.9500040493754962,0.0,0.9700071920852492,0.01597222222222222,0.0,3.57331818247261,28.5
109,4,200.95318002691246,0.9502541449691837,0.0,0.9604840042300269,0.001736111111111111,0.0,3.556413923698635,27.5
110,4,232.3192783545115,0.9500508922666989,0.0,0.9375540360997704,0.012847222222222222,0.0,3.607143340606005,28.3
111,4,232.55885431096277,0.9501538403724815,0.0,0.9795936101819085,0.005555555555555556,0.0,3.554124417105675,27.8
112,4,205.0109241209571,0.9501082094208663,0.0,0.9606161963259271,0.003472222222222222,0.0,3.607254319087942,27.5
113,4,213.49611212255977,0.9500008868246981,0.0,0.8967027029417215,0.0,0.0,3.5253236320871677,27.4
114,4,205.9112972850823,0.9504460669306042,0.0,0.9346325930641124,0.0006944444444444445,0.0,3.5209322205743385,27.6
115,4,244.75964204186008,0.9500111772351075,0.0,0.9584724576238765,0.007638888888888889,0.0,3.575627731789071,27.9
116,4,227.24551872690287,0.9500524045175723,0.0,0.9558092572006213,0.0024305555555555556,0.0,3.6622747178623754,27.6
117,4,234.5003666898315,0.9501369895620163,0.0,0.9733482983192601,0.00034722222222222224,0.0,3.5272792482649327,27.5
